2021-05-10 18:40:42,057:INFO:[Rank-0] args : Namespace(batch=384, dataset='cifar100', epochs=100, lr=0.01, rank=0, train_type='proposal', world=4)
2021-05-10 18:41:40,355:INFO:[Rank-0] step time 0.3909, epoch   0, step  90/131, loss 5.29664943, auc@1 1.68, auc@5 7.14, share 19, std_loss 0.25111815416150624,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:40,742:INFO:[Rank-0] step time 0.3866, epoch   0, step  91/131, loss 5.28816764, auc@1 1.66, auc@5 7.13, share 19, std_loss 0.24959083228975862,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:41,142:INFO:[Rank-0] step time 0.3997, epoch   0, step  92/131, loss 5.27910130, auc@1 1.66, auc@5 7.17, share 19, std_loss 0.24808644956868628,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:41,527:INFO:[Rank-0] step time 0.3839, epoch   0, step  93/131, loss 5.27049035, auc@1 1.67, auc@5 7.25, share 19, std_loss 0.24660123339904252,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:41,910:INFO:[Rank-0] step time 0.3824, epoch   0, step  94/131, loss 5.26197090, auc@1 1.67, auc@5 7.32, share 19, std_loss 0.24513926840525993,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:42,319:INFO:[Rank-0] step time 0.4085, epoch   0, step  95/131, loss 5.25525862, auc@1 1.67, auc@5 7.31, share 19, std_loss 0.24369362545640846,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:42,724:INFO:[Rank-0] step time 0.4042, epoch   0, step  96/131, loss 5.24723335, auc@1 1.67, auc@5 7.32, share 19, std_loss 0.24226649928217134,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:43,111:INFO:[Rank-0] step time 0.3866, epoch   0, step  97/131, loss 5.24093776, auc@1 1.66, auc@5 7.32, share 19, std_loss 0.24085313680860185,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:43,508:INFO:[Rank-0] step time 0.3966, epoch   0, step  98/131, loss 5.23328104, auc@1 1.67, auc@5 7.39, share 19, std_loss 0.23945796451702409,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:43,898:INFO:[Rank-0] step time 0.3892, epoch   0, step  99/131, loss 5.22579458, auc@1 1.72, auc@5 7.41, share 19, std_loss 0.23807750604670458,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:44,298:INFO:[Rank-0] step time 0.3991, epoch   0, step 100/131, loss 5.21883576, auc@1 1.72, auc@5 7.46, share 19, std_loss 0.23670821577310563,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:44,685:INFO:[Rank-0] step time 0.3868, epoch   0, step 101/131, loss 5.21169152, auc@1 1.75, auc@5 7.51, share 19, std_loss 0.23535785307683568,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:45,078:INFO:[Rank-0] step time 0.3920, epoch   0, step 102/131, loss 5.20465377, auc@1 1.78, auc@5 7.55, share 19, std_loss 0.2340259522053541,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:45,483:INFO:[Rank-0] step time 0.4051, epoch   0, step 103/131, loss 5.19814437, auc@1 1.77, auc@5 7.57, share 19, std_loss 0.23271080945591324,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:45,866:INFO:[Rank-0] step time 0.3820, epoch   0, step 104/131, loss 5.19135081, auc@1 1.76, auc@5 7.61, share 19, std_loss 0.2314152573593534,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:46,260:INFO:[Rank-0] step time 0.3932, epoch   0, step 105/131, loss 5.18459424, auc@1 1.77, auc@5 7.66, share 19, std_loss 0.23013499450115932,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:46,646:INFO:[Rank-0] step time 0.3850, epoch   0, step 106/131, loss 5.17866037, auc@1 1.75, auc@5 7.63, share 19, std_loss 0.22886884718571068,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:47,027:INFO:[Rank-0] step time 0.3810, epoch   0, step 107/131, loss 5.17200165, auc@1 1.75, auc@5 7.70, share 19, std_loss 0.22762445722506425,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:47,418:INFO:[Rank-0] step time 0.3903, epoch   0, step 108/131, loss 5.16625868, auc@1 1.77, auc@5 7.70, share 19, std_loss 0.2263939830440062,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:47,826:INFO:[Rank-0] step time 0.4068, epoch   0, step 109/131, loss 5.15913089, auc@1 1.80, auc@5 7.75, share 19, std_loss 0.22518173058372026,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:48,210:INFO:[Rank-0] step time 0.3838, epoch   0, step 110/131, loss 5.15293915, auc@1 1.81, auc@5 7.77, share 19, std_loss 0.22398460480299862,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:48,621:INFO:[Rank-0] step time 0.4106, epoch   0, step 111/131, loss 5.14679568, auc@1 1.81, auc@5 7.82, share 19, std_loss 0.22279780499033025,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:49,004:INFO:[Rank-0] step time 0.3820, epoch   0, step 112/131, loss 5.14050343, auc@1 1.83, auc@5 7.82, share 19, std_loss 0.22162613525454486,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:49,392:INFO:[Rank-0] step time 0.3871, epoch   0, step 113/131, loss 5.13516471, auc@1 1.82, auc@5 7.84, share 19, std_loss 0.2204635211192401,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:49,813:INFO:[Rank-0] step time 0.4207, epoch   0, step 114/131, loss 5.12912710, auc@1 1.84, auc@5 7.89, share 19, std_loss 0.21931360433237596,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:50,196:INFO:[Rank-0] step time 0.3821, epoch   0, step 115/131, loss 5.12354471, auc@1 1.85, auc@5 7.92, share 19, std_loss 0.2181771823245546,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:50,583:INFO:[Rank-0] step time 0.3868, epoch   0, step 116/131, loss 5.11744450, auc@1 1.87, auc@5 7.96, share 19, std_loss 0.2170567263303132,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:50,998:INFO:[Rank-0] step time 0.4140, epoch   0, step 117/131, loss 5.11277562, auc@1 1.88, auc@5 7.97, share 19, std_loss 0.21594722626300958,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:51,382:INFO:[Rank-0] step time 0.3832, epoch   0, step 118/131, loss 5.10756354, auc@1 1.87, auc@5 7.94, share 19, std_loss 0.21485195889816447,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:51,772:INFO:[Rank-0] step time 0.3895, epoch   0, step 119/131, loss 5.10211579, auc@1 1.89, auc@5 8.02, share 19, std_loss 0.21376970648264684,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:52,162:INFO:[Rank-0] step time 0.3893, epoch   0, step 120/131, loss 5.09622278, auc@1 1.89, auc@5 8.06, share 19, std_loss 0.2127012553314368,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:52,557:INFO:[Rank-0] step time 0.3943, epoch   0, step 121/131, loss 5.09167175, auc@1 1.89, auc@5 8.07, share 19, std_loss 0.21164149501599555,  6.17826 6.36425 6.40560 6.74271
2021-05-10 18:41:52,938:INFO:[Rank-0] step time 0.3799, epoch   0, step 122/131, loss 5.08615607, auc@1 1.90, auc@5 8.11, share 19, std_loss 0.210594187017347,  6.17826 6.36425 6.40560 6.74271
